,id,coco_url,caption_0,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6
1046,125072,http://images.cocodataset.org/val2017/000000125072.jpg,Five cows are grazing at a lake next to a road.,Cattle grazing on grass near a lake surrounded by mountain..,Cattle are crossing the road to a beach front.,Cows graze an open field next to the ocean.,Cows wandering free in the grass by the ocean.,,
1047,125129,http://images.cocodataset.org/val2017/000000125129.jpg,A man in white is sitting at a table,A person on a cell phone sitting at a table.,A man in an Arabic type outfit on a cell phone.,a man in glasses with a gown seated on a table,a person is sitting at the table reading ,,
1048,125211,http://images.cocodataset.org/val2017/000000125211.jpg,A zebra is standing in an open field.,a large zebra standing next to a tree,A zebra showing the left side of itself on a field.,there is a very beautiful zebra that is standing in the shade,A zebra standing on top of a grass covered field.,,
1049,125245,http://images.cocodataset.org/val2017/000000125245.jpg,Broccoli is tied on a piece of plastic in an aquarium.,an aquarium with some blue black and yellow fish,Underwater picture of blue and yellow fish and other sea creatures.,closeup of an aquarium full of water and fish,tied together broccoli inside an aquarium with fish,,
1050,125257,http://images.cocodataset.org/val2017/000000125257.jpg,a person walking on a snow covered field.,A man on a snowboard on a groomed slope.,A man walking across a snowy mountain road.,A snow boarder is going down the slope on his board.,a person riding a snow board on a snowy slope,,
1051,125405,http://images.cocodataset.org/val2017/000000125405.jpg,Two brown and white dogs running in a park. ,two brown dogs walking in the field with their mouth open,"Two dogs, on wearing something heavy around its neck, run over the ground.",Two dogs running across patchy grass; one chasing the other.,Two dogs running and playing in the sun.,,
1052,125472,http://images.cocodataset.org/val2017/000000125472.jpg,a man in the air standing above the skateboard,A skateboarder jumps while trying to perform a trick.,A man is doing tricks on a skateboard.,a person attempting a jump with a skateboard,A man flying through the air while riding a skateboard.,,
1053,125572,http://images.cocodataset.org/val2017/000000125572.jpg,a woman riding a bike in the street and a building with a clock in the background,Girl on bicycle on road in front of large building. ,The Big Ben clock tower towering over the city of London.,A lady is riding her bike and approaching the huge castle like building. ,People moving around on the streets surrounding an old castle.,,
1054,125778,http://images.cocodataset.org/val2017/000000125778.jpg,a living room with a couch and a chair ,A living room with dark colored furniture and a fire place.,A living room with a white carpet and black furniture.,"A room with brown sofa and chair, tables, a fireplace, and white windows.",A view of a large well decorated living room.,,
1055,125806,http://images.cocodataset.org/val2017/000000125806.jpg,a couple of  black cows in the woods,Two black cows facing each other with woods behind them.,A couple of black cows standing next to a tree.,one black cow sniffing another black cows head,A cow and another playing next to a tree.,,
1056,125850,http://images.cocodataset.org/val2017/000000125850.jpg,A cat laying in a bowl asleep on the ground.,A cat laying in a green bowl on a wooden table.,A cat that has curled up in a bowl.,This gray cat has curled up into a ball,A cat is curled up and sleeping in a round tin.,,
1057,125936,http://images.cocodataset.org/val2017/000000125936.jpg,People on both sides of a counter at a small food market.,A man is at the counter by a bowl of fruit.,Two customers and three employees interact in the deli.,People in a store that is selling bananas and apples.,People in a grocery story that sells fruit and drinks.,,
1058,125952,http://images.cocodataset.org/val2017/000000125952.jpg,A wheel along back pack with a jacket strapped to the top,A piece of luggage sitting on the outside of a white building.,A carry on rolling luggage with stuff bursting out the top.,A luggage for travel is stuffed with a down jacket.,A piece of luggage is ready to go with cold wear on top for quick usage.,,
1059,126107,http://images.cocodataset.org/val2017/000000126107.jpg,"A big, white seagull flies over a beach.",A bird that is flying over the sand.,a big bird that is flying over some sand,An up close shot of a seagull flying in front of the beach,a white bird is flying over a beach,,
1060,126110,http://images.cocodataset.org/val2017/000000126110.jpg,Dog sitting inside the cab of a yellow truck. ,The dog is perched on the seat of the car looking out the window,A dog is looking out the window of a yellow truck.,A dog driving a yellow big rig truck next to a man.,A dog sits on a seat in a truck.,,
1061,126137,http://images.cocodataset.org/val2017/000000126137.jpg,Tennis player and white outfit swinging his racket on the court. ,a man that is on a tennis court with a racket,A young man standing on top of a tennis court holding a racquet.,"A tennis player poses, racket in his right hand, left arm behind him.",Male tennis player delivery service during a game,,
1062,126216,http://images.cocodataset.org/val2017/000000126216.jpg,"The elephants think they are hiding behind those trees, but I can still see them.",A group of elephant walking in a forest.,The elephants are walking through the trees in the shade.,Three elephants in a grassy area with trees around.,A herd of wild animals walking across a dry grass park.,,
1063,126226,http://images.cocodataset.org/val2017/000000126226.jpg,A group of guys in  a dugout with their gear ,Some baseball players sitting in a dugout watching a game,Many caps and gloves sit in front of the players in a baseball dugout.,A group of baseball players sit with their gear in the dugout.,A dug out filled with baseball players next to baseball equipment.,,
1064,126592,http://images.cocodataset.org/val2017/000000126592.jpg,A stop sign is posted next to a parking lot.,A red stop sign sitting under a couple of street signs.,a top sign sitting in a parking lot full of cars,A stop sign stands at the corner of Sutter Street.,a red stop sign with a street sign attached,,
1065,127092,http://images.cocodataset.org/val2017/000000127092.jpg,A row of buildings and a city street on a hill that is pretty steep.,A city street with a road sign next to some buildings,A historic trolley sign is across the street from a large building.,A sign letting readers know that there is a train. ,A big building perched atop a hill with a sign in the foreground.,,
1066,127135,http://images.cocodataset.org/val2017/000000127135.jpg,a small dog sits inside of a small cart ,A small pig with a sign in the middle of the street.,The pig  is sitting in front of the ironic sign.,A pet pig on a cart helps deliver a political message.,Small black and white pig on wheeled cart with protest sign.,,
1067,127182,http://images.cocodataset.org/val2017/000000127182.jpg,A kitchen filled with metal appliances and a window.,"An empty clean kitchen with cabinetry, stove and dishwasher.",A home kitchen with white cabinets and silver appliances,A KITCHEN WITH A SINK AND APPLIANCES ,This is a black and white photo of a white kitchen.,,
1068,127263,http://images.cocodataset.org/val2017/000000127263.jpg,Two men playing a game of Frisbee in a field.,Two men are reaching to catch a frisbee.,Two men on opposite teams jumping for a Frisbee.,A couple of men playing a game of frisbee.,"The men are playing a game of Frisbee on the grassy field,",,
1069,127270,http://images.cocodataset.org/val2017/000000127270.jpg,A woman prepares to swing her tennis racket,A tennis player prepares to serve the ball.,a woman raising her arms up so she can serve a tennis ball ,A tennis player is swinging at a tennis ball.,A woman holding a tennis racket in her hand,,
1070,127394,http://images.cocodataset.org/val2017/000000127394.jpg,A group of people sit at a table laden with food.,a number of people sitting at a table with lots of food,A group of people sitting around a table filled with food.,The people are at the dining table with a lot of food around them. ,People sitting around a table several pans of food. ,,
1071,127476,http://images.cocodataset.org/val2017/000000127476.jpg,A half cut pizza on a plate on the table,A partially eaten pizza sitting on a tray.,A pizza with different toppings sitting on a pan. ,A pizza sits half eaten on a plate.,A pizza that is sitting on a plastic tray.,,
1072,127494,http://images.cocodataset.org/val2017/000000127494.jpg,A white plate of food on a table.,Assortment of cooked vegetable on white plate on table.,A plate of pork with chinese broccoli drizzled with sauce,A white plate of food tha includes meat and vegetables.,a plate with meat and green veggies mixed with sauce ,,
1073,127517,http://images.cocodataset.org/val2017/000000127517.jpg,a row of surf boards placed in the sand,A row of surfboards sticking out of the sand sitting next to each other.,Several surfboards standing in a row on the beach ,A row of surfboards leaned up against a wood rail in the sand.,Many surfboards are propped against a rail on the beach.,,
1074,127530,http://images.cocodataset.org/val2017/000000127530.jpg,A man in blue shirt and white shorts playing tennis.,a tennis player swinging a racket at a ball,A man hitting a tennis ball on a professional court.,Male professional tennis player swinging at a tennis ball.,A man on a court swinging a tennis racket.,,
1075,127624,http://images.cocodataset.org/val2017/000000127624.jpg,Dusk is about to enter behind the city.,A city skyline is shown with a subway train coming around the bend. ,grainy image of two trains on tracks moving through a city,A train next to a train station with city in background.,View of a highway near a city at sunset,,
1076,127660,http://images.cocodataset.org/val2017/000000127660.jpg,A girl with a black eye and pig tails sits in a suitcase.,A woman sitting inside of a open suitcase.,A woman with makeup bruises is in a suitcase.,a female in a black shirt is in a suitcase,A woman with a marking under her eye emerging from a suit case.,,
1077,127955,http://images.cocodataset.org/val2017/000000127955.jpg,The two big bears are fighting in the water with one another.,Two bears that are standing in the water.,there are two brown bears that are playing together in the water,The two brown bears are playing in water.,Two large bears fighting or playing in water.,,
1078,127987,http://images.cocodataset.org/val2017/000000127987.jpg,A bobble head baseball figurine on a desk. ,A desk with two computer screens and a Cecil Cooper bobble head.,A baseball player bobble head next to two computer monitors on a desk.,A bobble head is shown next to computer screens.,A close of a bobble head doll with a computer in the background.,,
1079,128051,http://images.cocodataset.org/val2017/000000128051.jpg,A bus that is sitting in the grass near a street.,this is a truck and a bus on a lawn,A van is on the roof of a bus of the same door.,A green bus with a smaller bus sitting on top of it.,A bus has the top part of a van attached to its roof.,,
1080,128112,http://images.cocodataset.org/val2017/000000128112.jpg,A person is cross country skiing on a trail.,this is a man riding skis down a hill,A man skiing down a mountain side following a trail way. ,a man that is on a snowy trail,A person is on skis on a snow trail.,,
1081,128148,http://images.cocodataset.org/val2017/000000128148.jpg,"A living room with brown, leather furniture and a red wall",The living room is spacious and clean with hardwood floors and seating on leather sofas.,A large living room with leather couches and wood flooring,A living room filled with two leather couches on a hard wood floor.,Two brown leather couches in a living room,,
1082,128372,http://images.cocodataset.org/val2017/000000128372.jpg,a yellow white and black bus and some people ,people walking towards a parked bus on the street,People milling about a bus terminal getting ready to board.,People loading onto a orange and silver metro bus.,A transit bus with its doors opened as passengers board.,,
1083,128476,http://images.cocodataset.org/val2017/000000128476.jpg,"Two women are looking at many colorful, heart shaped cakes. ",A able topped with lots of heart shaped cakes.,A display of several elaborately decorated pink and white cakes.,a bunch of heart shaped cakes are on display,Large collection of cakes shaped like hearts on a display.,,
1084,128598,http://images.cocodataset.org/val2017/000000128598.jpg,A bunch of yellow and orange fruit in varied sizes.,Pears and oranges have dirt and brown spots.,"A group of red, yellow and orange fruit  mixed together.",A picture of some fruit on a table.,a bunch of yellow and orange fruits in a pile,,
1085,128654,http://images.cocodataset.org/val2017/000000128654.jpg,A man in mid air attempting to catch a frisbee.,a person jumping in the air while playing with a frisbee,Man in mid air reaching between his legs to reach a frisbee. ,A man is doing tricks with a frisbee,A person is jumping with a Frisbee in the air.,,
1086,128658,http://images.cocodataset.org/val2017/000000128658.jpg,A waffle with strawberries and bananas on a square plate.,"A plate has a waffle, some fruit and ice cream on it.",a waffle with powdered sugar surrounded by berries ,"A waffle with syrup, a scoop of ice cream, and sliced strawberries and bananas on a plate.",A decadent looking waffle sits on a bed of fruit on a rectangular plate.,,
1087,128675,http://images.cocodataset.org/val2017/000000128675.jpg,A lifeguard helps a boarder that overturned in the water.,A man holding one water ski at the lake.,A parasailer in the distance with two surfers in the foreground. ,Several people engaged in para-sailing on a lake.,Several para-sailers on a lake by the woods,,
1088,128699,http://images.cocodataset.org/val2017/000000128699.jpg,A photo of a man doing a trick on his skateboard.,A man that has a skateboard in the air.,A man makes a jump on his skateboard before a crowd.,A MAN IS JUMPING ON HIS SKATE BOARD IN THE SKY ,A boy jumping on a brick patterned ramp on his skateboard. ,,
1089,128748,http://images.cocodataset.org/val2017/000000128748.jpg,An umpire is talking with two players on different teams.,Three baseball players stand communicating on a field.,a baseball player talks with an umpire ,A group of three men standing around a baseball field.,A batter and catcher talking to the umpire at home plate.,,
1090,129054,http://images.cocodataset.org/val2017/000000129054.jpg,A group of zebra stand in the plain.,A herd of zebra are grazing in a grassy meadow.,A herd of zebra stand on a plain in the wild.,A group of zebras on a green plain,A large group of zebras in a open field.,,
1091,129062,http://images.cocodataset.org/val2017/000000129062.jpg,A city street scene of a restaurant with tables outside.,A hotdog stand with outside seating and bright lights.,Parking meters are in front of an eating establishment. ,A picture of a store by a street.,Outdoor patio and front of a bar that serves hot dogs,,
1092,129113,http://images.cocodataset.org/val2017/000000129113.jpg,An old corroded spoon setting on a bamboo mat.,A large dark colored spoon sitting on a rack,a burnt tea spoon sits on a wooden surface ,a big spoon that is laying on a table,a close up of a spoon on a wooden surface ,,
1093,129135,http://images.cocodataset.org/val2017/000000129135.jpg,A bench sit in front of a blue and yellow train.,A train that is on the tracks sitting in front of a bench.,"A passenger train is yellow and blue, and stands at a station.",Blue and yellow train at a train station in front of a bench. ,Yellow Train stopped at the station in front of a bench.  ,,
1094,129322,http://images.cocodataset.org/val2017/000000129322.jpg,a bath room with a toilet and toilet paper ,A bathroom that has a small dividing wall next to it.,A bathroom with a toilet and bathtub beside a hallway.,A small bathroom with old toilet and tub,A narrow bathroom with little room for movement. ,,
1095,129416,http://images.cocodataset.org/val2017/000000129416.jpg,Several cows grazing on grass near water with trees in the background.,Several animals standing in the grass near a lake.,A group of cows grazing in a field near a body of water.,A herd of cattle grazing on top of a grass covered field.,a herd of cows graze lazily by the pond,,
1096,129492,http://images.cocodataset.org/val2017/000000129492.jpg,"There are two children sitting on the floor, one is a baby.","Two young boys sitting on floor, one playing a computer game.",two young children sitting on the ground playing nintendo ,Two small children holding remote controls while sitting on a floor.,Siblings playing video games on the floor at Dad's feet,,
1097,129756,http://images.cocodataset.org/val2017/000000129756.jpg,An old shepherd with two dogs watching his sheep on a hill.,there is a man standing on a hill with sheep and two dogs,A man is standing on a grassy hill with some sheep and dogs.,A man that is standing in the grass near animals.,A shepard and his dogs herding a flock of sheep.,,
1098,129812,http://images.cocodataset.org/val2017/000000129812.jpg,Sunset with a skiers feet and skis in the foreground,A person snowboarding outside while the sun is setting . ,A man riding skis while flying through the air.,There is a person skiing on a hill.,A fuzzy picture of a man in the middle of a skiing jump,,
1099,129945,http://images.cocodataset.org/val2017/000000129945.jpg,a man is swinging a baseball bat at a game,The batter is going to hit the ball in the baseball game. ,A batter swings as the catcher and umpire squat down behind him.,A baseball player swings the bat while the catcher & umpire look on,A baseball batter is up for a swing over the plate.,,
1100,130386,http://images.cocodataset.org/val2017/000000130386.jpg,A shopping center sign right by a road and a big red building.,A sign that is on the side of a pole.,A sign on the side of a busy street outside a shopping center,A large sign with neon green wording sitting on the side of a road.,a large blue sign is next to a building,,
1101,130465,http://images.cocodataset.org/val2017/000000130465.jpg,A black and white photo of a building with clocks on the front.,An old gothic style building with statues adorning it and a clock.,An old church building with clocks built into the tower and an arched doorway. ,A Church entrance with Saint and Angel Statues and a cross on top.,this is a church made of white stone,,
1102,130566,http://images.cocodataset.org/val2017/000000130566.jpg,a long cargo train going down a track by some trees ,A train pulls past an intersection in the rail in a rural area.,A train pulls a large number of cars through a junction.,A yellow train on the tracks with several cars,A train with a red and yellow engine on a railroad track.,,
1103,130579,http://images.cocodataset.org/val2017/000000130579.jpg,A pitcher about to pitch in a baseball game.,A professional baseball pitches is taking the mound. ,A Boston Red Sox pitcher standing on the mound,A baseball pitcher standing on the pitcher's mound palming a ball.,A man in a baseball uniform standing on a mound of a field.,,
1104,130586,http://images.cocodataset.org/val2017/000000130586.jpg,A boy running while holding onto a kite string.,A kid is running while pulling a kite behind him. ,Kid is over joyed as he flies his multi colored kite,A young boy is flying a kite in a park. ,a boy making a face while running to get his kite in the air,,
1105,130599,http://images.cocodataset.org/val2017/000000130599.jpg,A man is miming punching a giraffe statue.,A man pretending to punch a giraffe sculpture.,A man is pretending to hit a statue of a giraffe.,A man punching an innocent giraffe in the side of it's head.,A young man is playing with a giraffe,,
1106,130613,http://images.cocodataset.org/val2017/000000130613.jpg,A foil plate holding fried fish and vegetables.,A picture of cooked fish in a tray.,Three fish and vegetables on a silver tray.,"A tray of fish, with a side of vegetables.","A plate with sardines, carrots, green beans and potatoes.",,
1107,130699,http://images.cocodataset.org/val2017/000000130699.jpg,"Several men are playing sports on a field near some trees, wall, bus, and several buildings in the background.",A bunch of kids on a field play soccer.,Men playing soccer on a field at dusk.,People playing a game on green grass in front of a building.,A group of guys playing a game on a field,,
1108,130826,http://images.cocodataset.org/val2017/000000130826.jpg,An older couple sitting on a public bench in a city.,two elder people sit on a bench on a bus street,Two men sitting next to each other on a wooden bench.,An elderly man and woman sit on a bench on a busy sidewalk.,an older couple sitting on a bench talking ,,
1109,131131,http://images.cocodataset.org/val2017/000000131131.jpg,A cat looking at another cat on the television.,A cat sitting in front of a monitor that is displaying a picture of another cat.,A kitten is trying to interact with a kitten that is on television.,A cat sitting in front of a large computer monitor.,A cat curiously looks at a photo of a cat on a computer screen,,
1110,131138,http://images.cocodataset.org/val2017/000000131138.jpg,a desk with a cup plate laptop monitor and keyboard,A laptop and a desktop monitor are displayed on top of the desk.,Large office desk with computers near a window.,"A desk with a laptop, second monitor and keyboard.","A laptop sitting next to a monitor, keyboard and a mouse.",,
1111,131273,http://images.cocodataset.org/val2017/000000131273.jpg,A grey and white dog sitting in the passenger side of a car.,A dog looks interested as he sits in the front seat of a car.,Beautiful husky sitting up in the front passenger seat,A husky riding in the front seat of the car,A husky dog sitting on the front seat of a car,,
1112,131379,http://images.cocodataset.org/val2017/000000131379.jpg,The browned cracked crust of a baked berry pie.,The top of a pie looks all crusty and good.,A brown crust of pie with strawberry filing. ,An image of some sort of strawberry flaky pastery on display,A close up of a cooked fruit flavored muffin.,,
1113,131386,http://images.cocodataset.org/val2017/000000131386.jpg,a formation of fighter jets flying by in the air,The planes are all flying in the same direction.,The jets are flying through the air in unison.,A row of four trick Navy Planes flying in sequence.,A group of airplanes in the sky in formation. ,,
1114,131431,http://images.cocodataset.org/val2017/000000131431.jpg,An clock is encased in the wall of an older building.,a clock on a building with  sky background,A tall clock tower with a large clock on it's face.,A large building with a clock on the front of it,An image of a clock on a building.,,
1115,131444,http://images.cocodataset.org/val2017/000000131444.jpg,A man wears a suit with a blue shirt and a multicolored tie.,A man with a suit and tie and a fedora on.,a man that is in a suite and a tie,A man in a suit and tie wearing a hat.,A man wearing a hat and a gray jacket.,,
1116,131556,http://images.cocodataset.org/val2017/000000131556.jpg,A man riding skis on top of a ramp.,a man wearing skis is posing for the camera,A skier stands on a small ledge in the snow.,a person riding skis on a rail ,a man skiing along a rail on the snowy hill ,,
1117,131938,http://images.cocodataset.org/val2017/000000131938.jpg,A cat is wearing a tie and sitting on some clothes.,A cat wearing a tie on some cloths.,A cat wearing a neck tie sitting on a bed.,Cat sitting up with a fake tie around it's neck.,A cat standing on a bed and wearing a tie.,,
1118,132116,http://images.cocodataset.org/val2017/000000132116.jpg,Two bowls of a meat and vegetable dish,"Two white bowls with vegetables, meats and herbs and chopsticks nearby.",Two bowls of stir fried beef and broccoli with chopsticks next to the bowls.,A bowl full of meat and vegetables ready to eat.,The two bowls have a salad in them.,,
1119,132329,http://images.cocodataset.org/val2017/000000132329.jpg,a refrigerator with four plastic bottles and one is dark blue,Four bottles sit in an otherwise empty refrigerator.,A refrigerator mostly empty with only a few bottles of water inside.,Four bottles of liquid set in a refrigerator.,A refrigerator that has nothing but water in it.,,
1120,132375,http://images.cocodataset.org/val2017/000000132375.jpg,a vase with a flower and a jar full of juice,The small vase on the table is holding three flowers.,A drink in a mason jar sitting beside a vase of pink flowers.,a glass vase with three pink flowers and a drink,A vase filled with pink flowers on top of a table.,,
1121,132408,http://images.cocodataset.org/val2017/000000132408.jpg,"Two draft horses pulling plow, color, under cloudy skies with trees and other horses in background.",A man is plowig a field with two large horses.,"Two brown horses pull a plow, steered by a man behind.",Two large brown horses pulling a plow as a farmer guides them.,A farmer with draught horses uses a plow to furrow,,
1122,132544,http://images.cocodataset.org/val2017/000000132544.jpg,Softball game in which the batter has just swung at the ball.,A girls' softball game where the batter just hit the pitch.,A girl attempts to hit a ball with her bat while playing baseball.,A girl taking a swing at a baseball during a game.,A group of young women playing a game of softball.,,
1123,132587,http://images.cocodataset.org/val2017/000000132587.jpg,A man seated on a bench with a plastic bottle,A person sits on a bench with a water bottle next to him,A young man sitting on top of a white bench.,A man sitting alone with his water bottle.,A man sitting down on a bench beside a water bottle,,
1124,132622,http://images.cocodataset.org/val2017/000000132622.jpg,The large bear is looking in the direction of the camera.,A large grizzly bear walking through tall grass.,a big grizzly bear looks toward the camersa,A white bear stalking in the tall grass,A large brown bear walking across a grassy field.,,
1125,132703,http://images.cocodataset.org/val2017/000000132703.jpg,A man riding a skateboard down a metal hand rail.,A guy doing tricks on his kate board,A man who is performing a trick on a skateboard.,a man that is on a skateboard on a rail,A guy skateboarding on the bars of stairs.,,
1126,132796,http://images.cocodataset.org/val2017/000000132796.jpg,three people riding on the backs of elephants ,People having fun riding elephants together at a park ,People are sitting on elephants with a little chair.,Group of people riding on seats on top of elephants.,People riding elephants by using baskets tied to their backs.,,
1127,132931,http://images.cocodataset.org/val2017/000000132931.jpg,Two baseball players standing next to a wall on a baseball field.,A baseball game is in progress during the day time.,Two baseball players standing on the field during a game. ,two men on different baseball teams getting ready for the next move. ,A runner leading off base to try and get to the next base.,,
1128,133000,http://images.cocodataset.org/val2017/000000133000.jpg,Commuter train on tracks that set above the city.,a train traveling on an elevated train track.,A city view of an E-train on a track,There is a train that is coming towards us on the rail,A grey and blue train passing over a city area.,,
1129,133087,http://images.cocodataset.org/val2017/000000133087.jpg,Night time view of empty streets in commercial district.,Downtown seems is really quiet for the night night,Streetlights and traffic lights light up the night on an empty street.,A traffic light on a open city street.,a street corner in a town all bright from lights,,
1130,133233,http://images.cocodataset.org/val2017/000000133233.jpg,A large pier holding several boats overlooked by mountains.,A marina filled with boats floating in crystal blue water.,A bunch of boats docked by the mountains,A harbor with boats is surrounded by mountains.,an overview image of a boat dock by mountains,,
1131,133244,http://images.cocodataset.org/val2017/000000133244.jpg,A man in black shirt and blue shorts playing tennis.,A tennis player is standing close to the net.,a man standing in the middle of a tennis court with a large crowd watching ,A man holding a tennis racquet on a tennis court.,A man taking a swing at  a tennis ball,,
1132,133343,http://images.cocodataset.org/val2017/000000133343.jpg,A young man wearing a tie and sunglasses is looking away.,A man in a suite wearing a pair of sunglasses.,A man in large sunglasses and a lose tie,A man with thick sunglasses and multiple piercings sits with his mouth open.,Man with terrible glasses and a horrible lip ring.,,
1133,133418,http://images.cocodataset.org/val2017/000000133418.jpg,A man holding a tennis racquet on a tennis court.,A tennis playing tennis on a dirt court. ,A male tennis player has just finished hitting the ball,Happy man standing on a tennis court holding a racket.,A man playing tennis on a red coat in all white.,,
1134,133567,http://images.cocodataset.org/val2017/000000133567.jpg,An Amtrack train is on the railroad tracks.,A train on train tracks with a person in the foreground.,A person looking at a train going by.,A man standing in front of the Amtrak train.,A train is passing by while an onlooker is standing next to track.,,
1135,133631,http://images.cocodataset.org/val2017/000000133631.jpg,"The old, adult elephant stands near a wire fence.",A picture of an elephant in a zoo enclosure.,An elephant standing next to an electric fence,An elephant standing inside of a dirt pen.,An elephant at a zoo on a sunny day,,
1136,133645,http://images.cocodataset.org/val2017/000000133645.jpg,A white boat with a canopy at water's edge. ,a small boat in a body of water ,A view of a lake with boats in it. ,There is no image to be reviewed on this hit.,a small green and white boat parked near the sidewalk near a lake ,,
1137,133778,http://images.cocodataset.org/val2017/000000133778.jpg,A brown calf drinking milk from its mother.,A young calf drinks from its mother's udders,A baby cattle is being fed by its mother.,a calf suckingling on a cows utters in grass,A mother cow with a young calf feeding in a grassy area.,,
1138,133819,http://images.cocodataset.org/val2017/000000133819.jpg,A large blue bus is driving down a crowded street.,A passenger bus that is driving down a street.,A blue bus makes its way down a narrow city street.,A blue bus driving down a city street.,a citi bus parked in the street with buildings in teh background,,
1139,133969,http://images.cocodataset.org/val2017/000000133969.jpg,some baseballs players watching a batter at home plate ,Batter taking swing at ball at home plate during sanctioned game.,An athlete is performing on a sports field.,some baseball players a batter catcher and an umpire,A group of men on a field playing baseball.,,
1140,134034,http://images.cocodataset.org/val2017/000000134034.jpg,A pair of horses grazing in a field behind a fence.,A couple of horses standing in a lush green field.,Two brown horses grazing in a field next to a tree.,Two horses grazing in a fenced in field.,a horse and a donkey eating grass in a fenced in pasture ,,
1141,134096,http://images.cocodataset.org/val2017/000000134096.jpg,A cat drinking water from a bathroom faucet.,A calico cat drinks water from a faucet. ,A calico cat drinking from a sink faucet.,Cat attempting to get a drink out of a faucet.,A cat drinking out of the faucet of a sink.,,
1142,134112,http://images.cocodataset.org/val2017/000000134112.jpg,A small dog laying on a bed next to a laptop computer.,Small brown and white dog sitting in front of the laptop. ,A dog sitting in front of a laptop on top of a bed,a dog laying on a bed near a laptop ,A dog is lying next to a laptop computer.,,
1143,134322,http://images.cocodataset.org/val2017/000000134322.jpg,Large kite flying above a well-attended waterfront event,A large kite is being flown above a town's skyline.,"Kite flying between water area and building complex, probably Japan.",A kite flown above a body of water with many spectators,People congregated around a lake flying a large kite. ,,
1144,134689,http://images.cocodataset.org/val2017/000000134689.jpg,there is a very tall giraffe standing in the wild,A giraffe standing in dry dead brush on the savannah.,A single giraffe standing in a brushy area looking at the photographer,A giraffe standing in a dirt field near a tree. ,A giraffe is standing by some brush in a field.,,
1145,134722,http://images.cocodataset.org/val2017/000000134722.jpg,Fast commuter train moving past an outdoor platform.,a long passenger train pulling up to a station,A train on the track pulling by a train station.,A passenger train moving through a rail yard,A train pulling into a station outside during the day.,,
1146,134856,http://images.cocodataset.org/val2017/000000134856.jpg,A group of horses and riders galloping along a beach.,Three people on horses riding on the beach.,Three people riding horses on the shore. ,Three people in the distance riding horses along the beach.,Three people on horseback ride along the beach while waves come in.,,
1147,134882,http://images.cocodataset.org/val2017/000000134882.jpg,A cat sleeps on a bed with a plaid bedspread in front of a bookshelf.,A twin bed with  a cat and laptop on top of it.,A cat laying on a bed in front of a book shelf.,a cat in a bedroom laying on a striped covered bed.,A cat curled up on a bed for a nap.,,
1148,134886,http://images.cocodataset.org/val2017/000000134886.jpg,A low flying airplane over a parked silver van. ,A large jetliner flying over a dry grass field.,The landing airplane comes in very close to the vehicle in the road.,A commercial airplane above a dirt trail and crowd of people.,A playing flying over a van with multiple people around it.,,
1149,135410,http://images.cocodataset.org/val2017/000000135410.jpg,A bike leaning up to a parking meter.,A parking meter next to a ladder with bowling balls on each rung.,A parking meter is on the street in front of a building.,A stack of balls that is next to a parking meter.,A coin meter that is next to a ladder with balls on it.,,
1150,135561,http://images.cocodataset.org/val2017/000000135561.jpg,"A small, white formica kitchen with a refrigerator, sink and small electrical appliances",The door of the refrigerator has several papers on it.,A kitchen with white cabinets and brick walls.,A kitchen illuminated by a track lighting unit. ,"The kitchen is lit with overhead lights, shining on the cupboard and sink",,
1151,135604,http://images.cocodataset.org/val2017/000000135604.jpg,a young boy is playing soccer on a field ,A man playing soccer on a soccer field,A young man about to kick a soccer ball on a green field,a man on a soccer field dressed in a soccer uniform kicking a soccer ball,A soccer player is about to kick a soccer ball,,
1152,135670,http://images.cocodataset.org/val2017/000000135670.jpg,a bike stuck inside the back of a train,A bike behind a rail for safety on a train ride.,A bicycle being held by a bar on a train.,A bike is leaning against the railing by the window.,A bike hanging from a rail inside a train.,,
1153,135673,http://images.cocodataset.org/val2017/000000135673.jpg,Two airplanes having a close call in the sky.,A pro plane and a jet play flying close to each other in the sky.,Two planes fly in the air near each other.,Two large airplanes flying through a blue sky.,Two planes are close together in the sky.,,
1154,135872,http://images.cocodataset.org/val2017/000000135872.jpg,A desk with both a laptop computer and a desktop computer.,A desk containing a desktop and laptop computers.,a desk with a computer  a laptop and monitor,"A home office desk with a desktop computer, large flat screen monitor, and laptop computer on it.",a desk with a laptop and a desktop computer ,,
1155,135890,http://images.cocodataset.org/val2017/000000135890.jpg,The Big Ben clock tower towering over the city of London.,A large building with a tower and a clock,Big Ben and part of parliament from across the street.,A building in shadow with a clock tower.,A large stone building with a clock on it,,
1156,135902,http://images.cocodataset.org/val2017/000000135902.jpg,A red and yellow train is shown on the train tracks.,A red train parked under a sheltered station area.,A red train pulling into the station under a steel framed roof.,A red and yellow train at station under a glass roof.,A train sits running in a modern station.,,
1157,136033,http://images.cocodataset.org/val2017/000000136033.jpg,A bathroom area with a sink and tiled counter top.,A bathroom sink with mirror are shown in this picture.,"A bathroom with a tiled counter, a sink and a soap dispenser. ",A bathroom with orange walls and black tile features.,"a bathroom with some orange walls, and a black and white counter ",,
